
Date,Average Temperature
3/23/2015,3.4694
3/24/2015,-3.669837456
3/25/2015,-5.310035587
3/26/2015,-0.578330935
3/27/2015,-4.096978495
3/28/2015,-6.177661922
3/29/2015,-9.14720922
3/30/2015,-14.69533333
3/31/2015,-10.94514591
4/1/2015,-6.226836879
4/2/2015,-6.961197183
4/3/2015,-5.822268116
4/4/2015,-5.640968198
4/5/2015,-2.963204947
4/6/2015,-2.415108772
4/7/2015,-2.465773852
4/8/2015,-5.794074468
4/9/2015,-0.859558304
4/10/2015,2.338473684
4/11/2015,1.33456383
4/12/2015,2.308021201
4/13/2015,3.852731449
4/14/2015,3.547457143
4/15/2015,-0.059055944
4/16/2015,-5.672333333
4/17/2015,-4.053094737
4/18/2015,-4.108727273
4/19/2015,-1.11079078
4/20/2015,-2.556372822
4/21/2015,-0.47576
4/22/2015,4.076565836
4/23/2015,6.666284211
4/24/2015,4.774656522
4/25/2015,5.770238095
4/26/2015,0.296949091
4/27/2015,-4.339645985
4/28/2015,-0.273523132
4/29/2015,0.696702899
4/30/2015,2.514037879
5/21/2015,1.023716763
5/22/2015,0.063862319
5/23/2015,-1.674610909
5/24/2015,-1.843189964
5/25/2015,-2.349301075
5/26/2015,0.37577037
5/27/2015,1.646120438
5/28/2015,3.043091241
5/29/2015,5.145134058
5/30/2015,2.793707581
5/31/2015,2.391866171
6/1/2015,1.194366548
6/2/2015,4.224904412
6/3/2015,6.518007092
6/4/2015,7.189129032
6/5/2015,7.098146953
6/6/2015,7.382606618
6/7/2015,6.799423913
6/8/2015,7.103542125
6/9/2015,-1.202771739
6/10/2015,4.314043478
6/11/2015,8.325101083
6/12/2015,7.809332117
6/13/2015,6.150173285
6/14/2015,2.70105694
6/15/2015,0.727062044
6/16/2015,3.3965
6/17/2015,6.242310714
6/18/2015,9.221869565
6/19/2015,9.824565693
6/20/2015,6.721410256
6/21/2015,6.702218182
6/22/2015,6.685265455
6/23/2015,6.533177936
6/24/2015,6.591555556
6/25/2015,4.430639706
6/26/2015,4.205869565
6/27/2015,5.404679715
6/28/2015,6.198025362
6/29/2015,8.253620438
6/30/2015,9.711586957
7/1/2015,9.045206522
7/2/2015,10.62469231
7/3/2015,11.51584502
7/4/2015,10.9793405
7/5/2015,5.953974453
7/6/2015,7.373975265
7/7/2015,10.12501471
7/8/2015,9.691351648
7/9/2015,8.051989247
7/10/2015,5.77992446
7/11/2015,10.10639552
7/12/2015,12.94650909
7/13/2015,11.99696296
7/14/2015,13.25503676
7/15/2015,13.94530909
7/16/2015,14.27464684
7/17/2015,13.55642599
7/18/2015,12.65820144
7/19/2015,10.18667033
7/20/2015,12.23658273
7/21/2015,10.0655
7/22/2015,10.60740876
7/23/2015,13.06985663
7/24/2015,11.04400738
7/25/2015,9.558578358
7/26/2015,11.70938182
7/27/2015,11.5638638
7/28/2015,6.671836364
7/29/2015,7.013547101
7/30/2015,8.627003717
7/31/2015,9.525157143
8/1/2015,8.555448905
8/2/2015,10.05058801
8/3/2015,10.08981818
8/4/2015,9.011351648
8/5/2015,10.52188809
8/6/2015,10.33382784
8/7/2015,10.63185036
8/8/2015,5.509773723
8/9/2015,7.011065217
8/10/2015,2.866640741
8/11/2015,5.211209559
8/12/2015,8.513028881
8/13/2015,7.385878676
8/14/2015,1.117462094
8/15/2015,9.726545455
8/16/2015,10.6970365
8/17/2015,10.46431387
8/18/2015,11.43627737
8/19/2015,12.59460432
8/20/2015,12.19685714
8/21/2015,10.02529478
8/22/2015,4.11768705
8/23/2015,3.273065217
8/24/2015,6.276703971
8/25/2015,6.743913669
8/26/2015,3.77094964
8/27/2015,4.082155477
8/28/2015,0.799122744
8/29/2015,0.303634409
8/30/2015,1.757137546
8/31/2015,3.957235507
9/1/2015,5.510824818
9/2/2015,4.979695167
9/3/2015,-0.917129496
9/4/2015,3.364770909
9/5/2015,1.718205882
9/6/2015,0.651684588
9/7/2015,1.634631387
9/8/2015,3.30283871
9/9/2015,6.925011111
9/10/2015,10.03373704
